,abstract,services,Sci-BERT
10,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Embryonic Stem Cell Culture Training,22.48157443569542
11,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Embryonic Stem Cell Generation,15.150873947347133
12,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Immunocytochemistry,3.144729717665056
13,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Immunofluorescence,2.1697781034758594
14,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Immunohistochemistry (IHC),6.43098875153436
15,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Immunostaining,3.2752534103943005
16,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Immunostaining Experimental Design,6.502716144162326
17,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Induced Pluripotent Stem Cell (iPSC) Culture,24.933356922461
18,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Induced Pluripotent Stem Cell (iPSC) Differentiation,20.281973882732366
19,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Induced Pluripotent Stem Cell (iPSC) Generation,20.281973882732366
20,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Live Cell Assay Development,10.633646542404819
21,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Mammalian Cell Culture,8.32585501459331
22,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Mouse Embryonic Fibroblast Feeder,7.315726477196364
